time,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP,All-items HICP
time,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,United States
time,BEL_HIC_ESTAT_M,BGR_HIC_ESTAT_M,CZE_HIC_ESTAT_M,DNK_HIC_ESTAT_M,DEU_HIC_ESTAT_M,EST_HIC_ESTAT_M,IRL_HIC_ESTAT_M,GRC_HIC_ESTAT_M,ESP_HIC_ESTAT_M,FRA_HIC_ESTAT_M,HRV_HIC_ESTAT_M,ITA_HIC_ESTAT_M,CYP_HIC_ESTAT_M,LVA_HIC_ESTAT_M,LTU_HIC_ESTAT_M,LUX_HIC_ESTAT_M,HUN_HIC_ESTAT_M,MLT_HIC_ESTAT_M,NLD_HIC_ESTAT_M,AUT_HIC_ESTAT_M,POL_HIC_ESTAT_M,PRT_HIC_ESTAT_M,ROU_HIC_ESTAT_M,SVN_HIC_ESTAT_M,SVK_HIC_ESTAT_M,FIN_HIC_ESTAT_M,SWE_HIC_ESTAT_M,ISL_HIC_ESTAT_M,NOR_HIC_ESTAT_M,CHE_HIC_ESTAT_M,GBR_HIC_ESTAT_M,MNE_HIC_ESTAT_M,MKD_HIC_ESTAT_M,ALB_HIC_ESTAT_M,SRB_HIC_ESTAT_M,TUR_HIC_ESTAT_M,USA_HIC_ESTAT_M
2000-01,72.66,52.49,73,76.2,78.5,57.09,74.8,69.4,69.93,77.43,67.45,73.2,73.63,55.08,68.87,68.46,49.66,70.58,72.83,74.28,67.6,71.78,24.01,59.52,59.14,75.22,78.83,46.82,76,NA,71.9,NA,NA,NA,NA,11.45,NA
2000-02,74.14,53.07,73.1,76.6,78.6,57.11,75.4,69.1,70.06,77.53,67.78,73.5,72.53,55.35,68.89,69.18,50.23,70.58,73.24,74.85,68.2,71.58,24.53,60.07,61.17,75.8,79.2,46.64,76.4,NA,72.2,NA,NA,NA,NA,11.85,NA
2000-03,74.49,52.9,73.1,77.1,78.6,57.51,75.9,70.88,70.38,77.92,68.15,73.7,74.25,55.23,68.74,69.51,50.71,70.63,74.07,74.92,68.8,71.71,24.97,60.62,61.4,76.3,79.59,46.9,76.6,NA,72.3,NA,NA,NA,NA,12.22,NA
2000-04,74.63,52.36,73,77.3,78.6,57.58,76.4,71.3,70.64,77.92,68.53,73.7,74.98,55.43,68.73,69.97,51.12,72.74,74.34,74.78,69.1,72.52,26.17,60.98,61.36,76.44,79.49,47.33,76.8,NA,72.6,NA,NA,NA,NA,12.52,NA
2000-05,74.84,52.43,73.2,77.6,78.4,57.67,76.9,71.49,70.77,78.08,68.65,74,75.31,55.3,68.45,69.97,51.38,73.43,74.55,74.71,69.5,72.99,26.65,61.21,61.53,76.8,79.96,47.51,76.9,NA,72.8,NA,NA,NA,NA,12.79,NA
2000-06,75.12,52.56,73.7,77.8,78.9,57.84,77.4,71.06,70.97,78.29,69.37,74.2,74.91,55.35,68.87,70.96,51.63,73.26,74.55,75,70.1,73.39,27.4,61.62,61.49,77.09,79.93,47.68,77.4,NA,72.9,NA,NA,NA,NA,12.84,NA
2000-07,74.35,52.88,74.3,77.5,79.2,58.38,77.4,69.83,71.42,78.15,69.84,74.4,74.75,55.07,68.66,70.23,52.24,73.69,74.34,74.78,70.5,73.72,28.57,62.13,61.48,76.73,79.47,47.98,77.1,NA,72.5,NA,NA,NA,NA,13.1,NA
2000-08,75.47,54.45,74.4,77.3,79,58.46,77.8,69.96,71.68,78.32,69.8,74.4,74.47,54.77,68.27,70.69,52.46,73.53,74.62,74.85,70.3,73.79,29.1,62.31,61.53,76.8,79.52,47.68,76.8,NA,72.5,NA,NA,NA,NA,13.34,NA
