indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gross domestic product at market prices,Belgium,"Chain linked volumes, index 2010=100",BEL_YER_ESTAT,84.409,85.337,86.794,87.695,90.827,92.935,95.307,98.812,99.253,97.361,100,101.931,102.151,102.463,104.272,105.809,107.072,108.651,110.691,113.395,107.96,114.713,119.251,121.295,122.594,NA
Gross domestic product at market prices,Bulgaria,"Chain linked volumes, index 2010=100",BGR_YER_ESTAT,63.89,66.333,70.228,73.906,78.718,84.272,90.005,95.994,101.878,98.468,100,102.09,102.855,102.296,103.268,106.776,110.008,113.029,115.662,120.05,116.288,125.392,130.513,132.707,137.202,NA
Gross domestic product at market prices,Czechia,"Chain linked volumes, index 2010=100",CZE_YER_ESTAT,73.691,75.84,76.988,79.53,83.296,88.607,94.475,99.661,102.264,97.357,100,101.772,100.988,100.946,103.212,108.33,111.126,116.875,120.183,124.469,117.866,122.615,126.106,126.166,127.744,NA
Gross domestic product at market prices,Denmark,"Chain linked volumes, index 2010=100",DNK_YER_ESTAT,92.599,93.478,93.905,94.319,96.938,99.225,103.012,104.029,103.595,98.442,100,101.311,101.305,102.716,104.029,106.218,109.482,112.828,114.927,116.894,114.813,122.276,122.819,123.562,127.859,NA
Gross domestic product at market prices,Germany,"Chain linked volumes, index 2010=100",DEU_YER_ESTAT,91.6,93.099,92.887,92.395,93.468,94.296,97.942,100.772,101.666,96.03,100,103.758,104.239,104.653,106.934,108.713,111.129,114.238,115.535,116.665,111.844,116.217,118.32,117.291,116.71,116.956
Gross domestic product at market prices,Estonia,"Chain linked volumes, index 2010=100",EST_YER_ESTAT,71.627,75.84,81.098,87.258,93.192,102.067,112.031,120.513,114.337,97.609,100,107.607,111.558,113.518,117.29,119.446,123.14,130.079,134.891,139.918,135.883,147.1,145.297,141.309,141.182,NA
Gross domestic product at market prices,Ireland,"Chain linked volumes, index 2010=100",IRL_YER_ESTAT,75.645,79.658,84.358,86.9,92.799,98.125,103.02,108.49,103.625,98.345,100,101.609,101.197,103.417,113.123,140.978,142.702,157.128,169.209,177.623,190.33,221.274,237.894,231.86,237.887,NA
Gross domestic product at market prices,Greece,"Chain linked volumes, index 2010=100",GRC_YER_ESTAT,81.179,84.954,88.932,94.087,99.147,100.321,106.785,110.53,110.593,106.038,100,90.123,82.615,80.738,81.377,81.192,81.166,82.362,84.062,85.976,78.07,84.826,89.51,91.422,93.33,NA
Gross domestic product at market prices,Spain,"Chain linked volumes, index 2010=100",ESP_YER_ESTAT,81.489,84.683,87.016,89.574,92.364,95.644,99.511,103.028,103.818,99.906,100,99.36,96.513,95.136,96.582,100.504,103.434,106.43,108.979,111.116,98.96,105.574,112.299,115.063,119.038,122.331
Gross domestic product at market prices,France,"Chain linked volumes, index 2010=100",FRA_YER_ESTAT,87.566,89.23,90.182,91.055,93.667,95.436,98.026,100.506,100.889,98.039,100,102.438,102.626,103.428,104.46,105.575,106.483,108.701,110.49,112.73,104.343,111.524,114.554,116.202,117.586,NA
Gross domestic product at market prices,Croatia,"Chain linked volumes, index 2010=100",HRV_YER_ESTAT,77.206,79.608,84.228,88.918,92.626,96.634,101.533,106.659,108.763,101.354,100,99.889,97.654,97.524,96.98,99.23,102.669,106.041,109.128,112.513,103.162,116.193,124.669,129.359,134.309,NA
Gross domestic product at market prices,Italy,"Chain linked volumes, index 2010=100",ITA_YER_ESTAT,97.221,99.171,99.439,99.505,100.972,101.742,103.573,105.087,104.012,98.494,100,100.695,97.548,95.775,95.774,96.622,97.816,99.385,100.207,100.637,91.712,99.903,104.719,105.741,106.474,NA
Gross domestic product at market prices,Cyprus,"Chain linked volumes, index 2010=100",CYP_YER_ESTAT,71.787,74.625,77.403,79.434,83.426,87.475,91.598,96.268,99.779,97.768,100,100.417,96.955,90.568,88.96,92.001,98.049,103.687,110.19,116.665,112.907,125.776,136.182,141.111,146.672,NA
Gross domestic product at market prices,Latvia,"Chain linked volumes, index 2010=100",LVA_YER_ESTAT,68.109,72.509,78.067,84.647,92.033,102.723,115.897,127.967,123.631,103.8,100,103.036,110.563,112.881,115.246,119.606,122.658,126.827,132.293,133.186,128.566,137.491,140.116,138.796,138.732,NA
Gross domestic product at market prices,Lithuania,"Chain linked volumes, index 2010=100",LTU_YER_ESTAT,66.275,70.572,75.315,83.262,88.676,95.532,102.597,113.962,116.925,99.575,100,106.324,110.984,115.475,119.831,123.226,126.519,132.354,138.864,145.359,145.421,154.72,158.535,159.707,164.547,NA
Gross domestic product at market prices,Luxembourg,"Chain linked volumes, index 2010=100",LUX_YER_ESTAT,74.741,77.039,79.524,81.607,85.06,87.172,92.417,99.902,99.602,96.376,100,101.044,102.711,105.969,108.749,111.217,116.754,118.292,120.198,123.502,122.872,131.387,129.945,130.075,130.541,NA
Gross domestic product at market prices,Hungary,"Chain linked volumes, index 2010=100",HUN_YER_ESTAT,81.234,84.534,88.532,92.019,96.586,100.74,104.703,105.051,106.094,98.943,100,101.917,100.552,102.595,107.042,110.959,113.665,118.353,124.988,131.334,125.636,134.71,140.304,139.157,139.937,NA
Gross domestic product at market prices,Malta,"Chain linked volumes, index 2010=100",MLT_YER_ESTAT,77.907,77.318,79.437,82.371,82.706,85.089,87.077,91.463,95.497,94.164,100,100.992,105.135,111.75,120.278,131.85,137.226,155.027,166.172,172.96,166.98,189.262,194.192,214.817,229.845,NA
Gross domestic product at market prices,Netherlands,"Chain linked volumes, index 2010=100",NLD_YER_ESTAT,87.276,89.304,89.524,89.611,91.418,93.277,96.577,100.329,102.453,98.698,100,101.773,100.778,100.748,102.372,104.543,107.078,110.056,112.542,115.131,110.677,117.624,123.514,122.775,124.102,126.407
Gross domestic product at market prices,Austria,"Chain linked volumes, index 2010=100",AUT_YER_ESTAT,85.856,86.987,88.278,89.286,91.576,93.701,96.764,100.417,101.877,98.223,100,102.927,103.574,103.314,104.095,105.452,107.685,110.132,112.868,114.848,107.592,112.889,118.907,117.972,117.194,NA
Gross domestic product at market prices,Poland,"Chain linked volumes, index 2010=100",POL_YER_ESTAT,68.868,69.718,71.044,73.547,77.291,79.811,84.761,90.491,94.458,96.928,100,105.255,106.847,107.578,111.795,116.75,120.289,126.487,134.387,140.542,137.681,147.219,154.956,155.343,160.047,NA
Gross domestic product at market prices,Portugal,"Chain linked volumes, index 2010=100",PRT_YER_ESTAT,92.991,94.798,95.529,94.64,96.333,97.086,98.664,101.137,101.46,98.292,100,98.286,94.305,93.377,94.069,95.565,97.48,100.711,103.678,106.525,97.785,103.221,110.432,113.855,116.291,NA
Gross domestic product at market prices,Romania,"Chain linked volumes, index 2010=100",ROU_YER_ESTAT,66.116,69.566,73.533,75.254,83.102,86.981,93.965,100.762,110.141,104.065,100,104.496,106.485,106.782,111.177,114.687,117.967,127.635,134.52,139.847,134.815,142.348,148.309,151.658,153.047,NA
Gross domestic product at market prices,Slovenia,"Chain linked volumes, index 2010=100",SVN_YER_ESTAT,76.677,78.846,81.434,84.036,87.856,91.242,96.634,103.532,107.024,98.9,100,100.655,97.721,96.916,99.593,101.977,105.071,110.508,115.347,119.391,114.514,124.152,127.465,130.493,132.753,NA
Gross domestic product at market prices,Slovakia,"Chain linked volumes, index 2010=100",SVK_YER_ESTAT,61.61,63.412,66.213,69.429,73.171,77.916,84.871,94.052,99.097,93.641,100,102.562,104.172,104.904,107.745,113.323,115.53,118.852,123.679,126.494,123.224,130.193,130.902,133.668,136.259,NA
Gross domestic product at market prices,Finland,"Chain linked volumes, index 2010=100",FIN_YER_ESTAT,83.916,86.132,87.585,89.347,92.926,95.507,99.346,104.624,105.445,96.929,100,102.39,100.831,99.843,99.366,99.829,102.397,105.78,107.042,108.486,105.784,108.615,109.444,108.032,108.437,NA
Gross domestic product at market prices,Sweden,"Chain linked volumes, index 2010=100",SWE_YER_ESTAT,81.566,82.676,84.559,86.149,89.75,92.257,96.571,99.685,98.765,94.562,100,103.164,102.736,103.905,106.291,110.955,113.32,115.453,117.497,120.562,118.23,124.409,125.971,125.713,126.898,NA
Gross domestic product at market prices,Iceland,"Chain linked volumes, index 2010=100",ISL_YER_ESTAT,77.606,80.587,81.024,82.873,89.19,95.459,100.873,109.691,111.555,102.272,100,101.38,102.565,106.255,108.288,112.369,119.356,123.516,129.273,130.744,122.055,128.378,139.702,146.811,145.042,NA
Gross domestic product at market prices,Liechtenstein,"Chain linked volumes, index 2010=100",LIE_YER_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gross domestic product at market prices,Norway,"Chain linked volumes, index 2010=100",NOR_YER_ESTAT,85.599,87.368,88.572,89.409,92.998,95.495,97.846,100.697,101.182,99.219,100,101.106,103.854,104.909,107.058,109.046,110.316,113.034,113.971,115.252,113.779,118.226,122.064,122.152,124.714,NA
Gross domestic product at market prices,Switzerland,"Chain linked volumes, index 2010=100",CHE_YER_ESTAT,82.82,84.139,84.459,84.219,86.397,88.948,92.625,96.315,98.753,96.842,100,101.408,102.548,104.431,107.087,108.644,110.721,112.294,116.03,117.324,114.678,121.761,126.065,127.105,128.872,NA
