indicator,country_name,unit,s_adj,FINAL_CODE,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
Gross domestic product at market prices,Belgium,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BEL_YER_NSA_ESTAT_Q,82.989,85.016,82.871,86.76,84.698,86.381,83.563,86.707,85.097,87.752,85.306,89.02,86.417,88.395,85.915,90.053,88.9,91.603,89.397,93.407,91.438,93.89,91.019,95.395,93.66,95.92,93.395,98.256,97.243,99.732,96.966,101.307,99.085,101.509,97.281,99.139,93.441,97.707,93.97,104.327,96.08,100.994,96.242,106.684,98.468,103.08,98.047,108.129,99.004,103.335,98.263,108.003,98.507,103.799,98.693,108.854,100.476,105.528,100.416,110.669,102.222,107.561,101.634,111.821,103.456,108.846,102.813,113.174,105.308,110.422,103.879,114.995,106.871,112.429,105.981,117.485,109.259,115.155,109.012,120.156,108.76,101.379,106.064,115.638,109.131,115.907,110.659,123.154,114.463,121.486,114.595,126.459,117.656,123.614,116.08,127.831,119.13,124.906,117.304,129.035,120.181,126.146,118.473,NA
Gross domestic product at market prices,Bulgaria,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BGR_YER_NSA_ESTAT_Q,55.143,58.693,70.705,71.02,57.038,60.695,73.592,74.008,60.112,64.466,77.929,78.407,63.469,67.822,80.905,83.429,66.541,72.723,87.172,88.435,71.821,78.624,92.097,94.547,75.493,84.24,98.507,101.78,80.511,91.454,103.605,108.408,86.673,97.799,110.765,112.277,84.66,95.74,107.81,105.664,81.838,98.556,108.675,110.931,83.454,102.367,111.634,110.906,85.273,102.097,112.389,111.659,83.748,100.072,112.291,113.075,83.715,101.265,112.802,115.288,86.709,104.16,116.933,119.302,89.568,107.912,119.337,123.215,92.052,110.895,123.128,126.04,94.142,114.065,126.003,128.439,98.98,117.852,130.493,132.875,99.11,108.751,128.166,129.127,102.565,116.276,139.773,142.953,107.823,121.699,144.747,147.781,109.796,123.555,146.476,151.002,111.414,127.884,151.537,157.973,114.492,132.42,156.088,162.728
Gross domestic product at market prices,Czechia,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CZE_YER_NSA_ESTAT_Q,68.684,73.809,75.431,76.839,71.246,76.001,77.034,79.082,71.96,77.138,78.846,80.01,73.913,79.554,81.757,82.894,77.008,83.319,84.797,88.061,81.758,88.994,90.206,93.467,87.663,94.621,96.148,99.468,92.906,99.421,101.247,105.068,96.322,103.633,105.306,103.796,91.989,97.728,99.124,100.588,92.497,100.854,102.04,104.61,95.515,103.154,103.163,105.257,96.2,101.83,101.763,104.16,94.12,101.278,102.81,105.576,96.069,103.682,106.022,107.076,100.642,109.145,111.107,112.427,103.547,112.705,113.144,115.109,108.254,118.203,119.432,121.612,112.411,121.278,122.043,125.002,116.248,125.311,127.511,128.806,114.733,112.261,121.38,123.09,112.864,123.669,125.816,128.11,118.661,128.304,128.394,129.063,119.304,127.992,127.669,129.698,119.32,128.987,130.42,132.251,122.194,131.959,134.32,NA
Gross domestic product at market prices,Denmark,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),DNK_YER_NSA_ESTAT_Q,89.55,92.417,91.251,97.176,90.75,93.183,92.473,97.508,90.722,94.759,92.91,97.229,91.983,93.81,92.537,98.948,93.645,97.209,95.656,101.241,94.192,101.156,98.282,103.271,98.506,104.791,102.265,106.486,101.075,103.116,103.292,108.634,101.734,105.397,102.724,104.525,97.23,98.092,97.344,101.101,96.414,100.185,100.155,103.245,98.809,102.246,99.932,104.256,99.041,101.511,100.538,104.131,99.149,103.534,102.336,105.846,100.922,103.792,103.946,107.455,102.821,107.148,105.422,109.481,104.587,110.816,108.944,113.582,108.807,114.214,111.578,116.714,110.843,116.518,113.889,118.459,112.572,118.174,115.983,120.847,113.537,110.458,114.479,120.778,113.161,122.057,121.395,132.493,116.626,123.544,122.621,128.485,119.811,123.244,120.502,130.689,121.24,128.874,125.554,135.767,124.785,130.727,130.525,140.125
Gross domestic product at market prices,Germany,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),DEU_YER_NSA_ESTAT_Q,90.077,90.793,92.303,93.231,92.135,92.112,93.6,94.562,90.457,92.101,94.327,94.651,90.189,91.039,93.768,94.573,91.732,92.795,93.991,95.356,91.296,93.991,95.278,96.631,95.233,96.552,98.644,101.317,99.069,99.427,101.317,103.263,100.881,102.256,102.245,101.272,94.148,94.394,96.787,98.756,96.631,98.834,101.283,103.252,102.57,102.592,104.516,105.354,104.236,102.905,104.549,105.276,102.502,103.845,105.846,106.417,105.791,105.175,107.681,109.079,107.099,106.875,109.448,111.416,109.392,110.656,111.439,112.993,113.351,112.333,114.57,116.695,114.984,114.85,115.085,117.21,116.337,114.928,117.4,117.959,114.537,102.514,113.653,116.662,113.731,114.827,116.852,119.458,118.294,116.539,118.742,119.692,118.261,115.241,117.176,118.462,116.952,114.906,116.964,117.992,117.031,114.861,117.366,118.675
Gross domestic product at market prices,Estonia,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),EST_YER_NSA_ESTAT_Q,65.503,74.374,71.068,75.566,70.058,78.144,75.591,79.565,72.661,84.474,82.077,85.179,79.923,89.386,87.678,92.046,88.178,93.02,93.598,97.972,92.103,103.269,103.653,109.243,101.938,112.598,113.797,119.793,111.591,123.032,121.463,125.966,106.573,120.899,118.832,111.042,93.656,99.635,95.72,101.424,92.023,101.472,100.938,105.566,100.372,109.732,110.235,110.089,103.507,113.716,113.922,115.089,107.918,115.782,114.999,115.372,108.513,118.719,118.407,123.52,109.562,122.414,121.633,124.173,116.209,123.919,123.858,128.575,121.097,132.489,129.123,137.606,125.322,136.345,134.847,143.051,130.688,139.552,141.432,148.001,129.438,129.095,138.883,146.117,137.246,146.552,148.332,156.271,140.247,145.416,146.83,148.694,134.063,141.426,142.165,147.584,133.639,142.501,141.69,146.899,132.763,143.734,142.965,148.368
Gross domestic product at market prices,Ireland,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),IRL_YER_NSA_ESTAT_Q,72.231,74.645,77.291,78.411,77.745,79.405,79.533,81.95,81.936,83.505,84.558,87.431,83.696,85.811,85.339,92.755,90.127,93.262,91.343,96.463,95.444,98.697,96.521,101.839,101.557,102.278,103.25,104.993,109.703,108.335,105.647,110.275,106.695,104.465,104.411,98.93,99.081,99.393,98.836,96.07,98.794,100.255,101.39,99.562,100.941,102.866,102.257,100.372,98.877,103.096,101.687,101.129,98.264,102.343,107.584,105.474,108.296,111.705,116.241,116.25,139.112,135.456,143.973,145.373,136.097,136.124,141.256,157.332,147.19,148.121,163.035,170.164,162.954,165.307,173.389,175.184,169.173,172.161,183.826,185.333,183.813,176.393,205.399,195.713,210.124,216.493,233.686,224.793,225.653,232.94,250.686,242.298,231.161,231.004,238.892,226.384,224.96,225.584,248.443,252.564,269.981,264.291,275.276,261.983
Gross domestic product at market prices,Greece,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),GRC_YER_NSA_ESTAT_Q,76.007,77.849,84.506,86.352,80.924,81.601,88.212,89.078,83.387,87.136,92.358,92.847,88.446,92.207,97.062,98.635,94.497,96.957,102.586,102.55,95.298,98.461,103.481,104.043,101.47,105.319,108.58,111.771,104.684,111.657,113.391,112.386,106.623,110.224,112.952,112.574,99.272,106.405,108.831,109.642,99.875,100.595,99.738,99.793,88.481,91.861,92.502,87.649,80.252,82.737,84.573,82.897,75.452,79.987,84.003,83.509,75.984,80.737,85.035,83.753,76.533,81.164,82.88,84.189,75.736,80.758,84.789,83.38,76.425,82.024,87.587,83.41,77.768,83.602,89.506,85.372,78.761,85.993,92.612,86.539,76.969,71.825,83.677,79.808,75.277,82.485,93.349,88.194,81.154,88.002,97.113,91.773,82.773,91.072,98.499,93.345,83.762,92.956,100.986,95.615,85.453,94.455,102.976,NA
Gross domestic product at market prices,Spain,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),ESP_YER_NSA_ESTAT_Q,77.735,82.278,80.358,85.587,81.116,85.372,83.433,88.812,83.219,88.037,85.575,91.235,86.294,90.283,87.998,93.721,88.543,93.212,91.032,96.668,91.343,96.743,94.286,100.202,95.643,100.378,97.794,104.23,98.995,103.927,101.217,107.971,101.17,105.838,102.134,106.13,96.458,101.028,98.529,103.609,96.475,101.254,98.669,103.602,96.762,100.865,98.223,101.589,94.758,97.678,95.45,98.166,91.949,96.408,94.543,97.643,92.68,97.279,96.278,100.091,95.926,101.356,100.474,104.261,99.39,104.581,103.347,106.418,101.682,107.905,106.371,109.76,104.286,110.601,108.482,112.546,107.203,112.633,110.432,114.197,102.765,88.222,100.697,104.157,99.159,105.328,106.245,111.564,106.701,113.13,112.846,116.52,111.206,115.346,114.686,119.013,114.317,119.786,118.796,123.254,117.407,123.009,122.026,126.88
Gross domestic product at market prices,France,"Chain linked volumes, index 2010=100",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),FRA_YER_NSA_ESTAT_Q,86.411,87.394,85.416,91.045,89.01,88.971,86.956,91.982,89.352,89.984,88.448,92.946,90.515,90.201,89.166,94.338,92.761,93.505,91.628,96.773,94.181,95.711,93.453,98.397,96.658,98.205,95.822,101.419,99.26,100.425,98.593,103.748,100.704,101.662,98.95,102.239,96.607,97.646,96.425,101.477,97.747,99.936,98.671,103.646,101.264,102.553,100.661,105.273,102.413,102.168,100.614,105.309,101.681,103.518,101.969,106.545,102.95,104.093,103.192,107.606,104.258,105.215,103.846,108.979,105.228,106.982,104.016,109.703,107.277,108.217,106.548,112.763,109.034,109.71,108.368,114.849,111.213,112.635,111.256,115.818,105.755,93.301,106.441,111.873,107.434,110.073,111.23,117.358,112.617,114.539,112.854,118.205,114.554,116.068,114.121,120.066,116.281,117.049,116.108,120.905,116.707,117.881,116.73,122.674
