indicator,country_name,unit,FINAL_CODE,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Unemployment rate,Belgium,Total,BEL_URX_ESTAT,NA,NA,NA,NA,NA,NA,8,8.4,7.2,7.6,8.6,8.7,8.7,7.9,7.2,6,5.5,5.8,6.3,5.6,5.5,5.7
Unemployment rate,Bulgaria,Total,BGR_URX_ESTAT,NA,NA,NA,NA,NA,NA,7.9,11.3,12.3,13.3,13.9,12.4,10.1,8.6,7.2,6.2,5.2,6.1,5.2,4.2,4.3,4.2
Unemployment rate,Czechia,Total,CZE_URX_ESTAT,NA,NA,NA,NA,NA,NA,6.7,7.3,6.7,7,7,6.1,5.1,4,2.9,2.2,2,2.6,2.8,2.2,2.6,2.6
Unemployment rate,Denmark,Total,DNK_URX_ESTAT,NA,NA,NA,NA,NA,NA,6.4,7.7,7.8,7.8,7.4,6.9,6.3,6,5.8,5.1,5,5.6,5.1,4.5,5.1,6.2
Unemployment rate,Germany,Total,DEU_URX_ESTAT,NA,NA,NA,NA,NA,NA,7.3,6.6,5.5,5.1,4.9,4.7,4.4,3.9,3.5,3.2,2.9,3.6,3.6,3.1,3.1,3.4
Unemployment rate,Estonia,Total,EST_URX_ESTAT,NA,NA,NA,NA,NA,NA,13.5,16.6,12.3,9.9,8.6,7.3,6.4,6.8,5.8,5.4,4.5,6.9,6.2,5.6,6.4,7.6
Unemployment rate,Ireland,Total,IRL_URX_ESTAT,NA,NA,NA,NA,NA,NA,12.6,14.6,15.4,15.5,13.8,11.9,9.9,8.4,6.7,5.8,5,5.9,6.2,4.5,4.3,4.3
Unemployment rate,Greece,Total,GRC_URX_ESTAT,NA,NA,NA,NA,NA,NA,9.8,12.9,18.1,24.8,27.8,26.6,25,23.9,21.8,19.7,17.9,17.6,14.7,12.5,11.1,10.1
Unemployment rate,Spain,Total,ESP_URX_ESTAT,NA,NA,NA,NA,NA,NA,17.9,19.9,21.4,24.8,26.1,24.5,22.1,19.6,17.2,15.3,14.1,15.5,14.9,13,12.2,11.4
Unemployment rate,France,Total,FRA_URX_ESTAT,8.5,8.9,8.9,8.9,8,7.4,9.1,9.3,9.2,9.8,10.3,10.3,10.3,10.1,9.4,9,8.4,8,7.9,7.3,7.3,7.4
Unemployment rate,Croatia,Total,HRV_URX_ESTAT,NA,NA,NA,NA,NA,NA,9.2,11.7,13.7,16.1,17.3,17.3,16.2,13,11.1,8.3,6.6,7.4,7.5,6.8,6.1,5
Unemployment rate,Italy,Total,ITA_URX_ESTAT,NA,NA,NA,NA,NA,NA,7.9,8.5,8.5,10.9,12.4,12.9,12,11.7,11.3,10.6,9.9,9.3,9.5,8.1,7.7,6.5
Unemployment rate,Cyprus,Total,CYP_URX_ESTAT,NA,NA,NA,NA,NA,NA,5.4,6.3,7.9,11.9,15.9,16.1,15,13,11.1,8.4,7.2,7.6,7.2,6.3,5.8,4.9
Unemployment rate,Latvia,Total,LVA_URX_ESTAT,NA,NA,NA,NA,NA,NA,17.7,19.7,16.3,15.1,11.9,10.9,9.9,9.7,8.7,7.4,6.3,8.1,7.6,6.9,6.5,6.9
Unemployment rate,Lithuania,Total,LTU_URX_ESTAT,NA,NA,NA,NA,NA,NA,13.8,17.8,15.4,13.4,11.8,10.7,9.1,7.9,7.1,6.2,6.3,8.5,7.1,6,6.9,7.1
Unemployment rate,Luxembourg,Total,LUX_URX_ESTAT,NA,NA,NA,NA,NA,NA,5.1,4.4,4.9,5.1,5.9,5.9,6.7,6.3,5.5,5.6,5.6,6.8,5.3,4.6,5.2,6.4
Unemployment rate,Hungary,Total,HUN_URX_ESTAT,NA,NA,NA,NA,NA,NA,9.7,10.8,10.7,10.7,9.8,7.5,6.6,5,4,3.6,3.3,4.1,4,3.6,4.1,4.5
Unemployment rate,Malta,Total,MLT_URX_ESTAT,NA,NA,NA,NA,NA,NA,6.9,6.9,6.4,6.2,6.1,5.7,5.4,4.7,4,4,4.1,4.9,3.8,3.5,3.5,3.2
Unemployment rate,Netherlands,Total,NLD_URX_ESTAT,NA,NA,NA,NA,NA,NA,5.4,6.1,6,6.8,8.2,8.4,7.9,7,5.9,4.9,4.4,4.9,4.2,3.5,3.6,3.7
Unemployment rate,Austria,Total,AUT_URX_ESTAT,NA,NA,NA,NA,NA,NA,5.7,5.2,4.9,5.2,5.7,6,6.1,6.5,5.9,5.2,4.8,6,6.2,4.8,5.1,5.2
Unemployment rate,Poland,Total,POL_URX_ESTAT,NA,NA,NA,NA,NA,NA,8.5,10,10,10.4,10.6,9.2,7.7,6.3,5,3.9,3.3,3.2,3.4,2.9,2.8,2.9
Unemployment rate,Portugal,Total,PRT_URX_ESTAT,NA,NA,NA,NA,NA,NA,11.2,12.6,13.5,16.6,17.2,14.6,13,11.5,9.2,7.2,6.6,7.1,6.7,6.2,6.5,6.5
Unemployment rate,Romania,Total,ROU_URX_ESTAT,NA,NA,NA,NA,NA,NA,8.4,9,9.1,8.7,9,8.6,8.4,7.2,6.1,5.3,4.9,6.1,5.6,5.6,5.6,5.4
Unemployment rate,Slovenia,Total,SVN_URX_ESTAT,NA,NA,NA,NA,NA,NA,5.9,7.3,8.2,8.9,10.1,9.7,9,8,6.6,5.1,4.4,5,4.8,4,3.7,3.7
Unemployment rate,Slovakia,Total,SVK_URX_ESTAT,NA,NA,NA,NA,NA,NA,12,14.3,13.5,13.9,14.1,13.1,11.5,9.6,8.1,6.5,5.7,6.7,6.8,6.1,5.8,5.3
Unemployment rate,Finland,Total,FIN_URX_ESTAT,NA,NA,NA,NA,NA,NA,8.3,8.6,8,7.9,8.3,8.7,9.4,8.9,8.7,7.5,6.8,7.7,7.7,6.8,7.2,8.4
Unemployment rate,Sweden,Total,SWE_URX_ESTAT,NA,NA,7.9,7.2,6.3,6.3,8.5,8.7,7.9,8.1,8.1,8,7.5,7.1,6.8,6.5,6.9,8.5,8.9,7.5,7.7,8.4
Unemployment rate,Iceland,Total,ISL_URX_ESTAT,NA,NA,NA,NA,NA,NA,7.2,7.6,7,6,5.4,4.9,4,3,2.7,2.7,3.5,5.5,6.1,3.8,3.5,3.6
Unemployment rate,Norway,Total,NOR_URX_ESTAT,NA,NA,NA,NA,NA,NA,3.4,4,3.6,3.5,3.9,3.8,4.7,4.9,4.4,4,3.9,4.7,4.4,3.2,3.6,4
Unemployment rate,Switzerland,Total,CHE_URX_ESTAT,NA,NA,NA,NA,NA,NA,NA,4.8,4.4,4.5,4.8,4.9,4.8,5,4.8,4.7,4.4,4.8,5.1,4.1,4.1,4.4
Unemployment rate,Bosnia & Herzegovina,Total,BIH_URX_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,15.4,13.2,12.6
Unemployment rate,Montenegro,Total,MNE_URX_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,19.7,20,19.5,18,17.6,17.8,16.1,15.2,15.2,17.9,NA,NA,NA,NA
Unemployment rate,North Macedonia,Total,MKD_URX_ESTAT,NA,NA,NA,NA,NA,NA,32.2,32,31.4,31,29,28,26.1,23.7,22.4,20.8,17.3,16.4,15.5,14.4,13.1,12.3
Unemployment rate,Serbia,Total,SRB_URX_ESTAT,NA,NA,NA,NA,NA,NA,NA,21.1,25,26,24.2,20.7,19,16.5,14.6,13.8,11.4,9.8,11.2,9.6,9.5,8.6
Unemployment rate,Turkey,Total,TUR_URX_ESTAT,NA,NA,NA,NA,NA,NA,12.6,10.7,8.8,8.2,8.8,9.9,10.3,10.9,10.9,10.9,13.7,13.2,12,10.5,9.4,8.8
