Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Bahamas, The",313,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
Bermuda,319,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.869045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
Micronesia,868,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
Panama,283,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
Timor-Leste,537,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
Angola,614,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.877436e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.865452666666668e-8,2.866844333333332e-8,2.873486e-8,2.867844333333332e-8,2.875202666666668e-8,2.881977666666668e-8,2.877852666666668e-8,2.882386e-8,2.884161e-8,2.872761e-8,2.856119333333332e-8,2.862511e-8,2.819112e-8,2.7052815e-8,2.451462e-8,2.540760083333332e-8,2.555218083333332e-8,2.938362333333332e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,5.509833333333335e-8,2.514166666666668e-7,2.660166666666668e-6,5.9515e-5,0.002750229583333332,0.1280291666666667,0.2290400833333333,0.3928235175,2.790706166666668,10.04054416666667,22.05786166666667,43.53020666666668,74.60630083333332,83.54136250000002,87.15914166666668,80.36807205555554,76.70614275,75.03335416666668,79.32816666666668,91.9057203405018,93.93475000000002,95.467955421311,96.51827947915258,98.3024168556335,120.0607016650187,163.6564341165789,165.9159506914978,252.855747731297,364.8258049808865,578.2587802801105,631.441955506727,460.5675116314618,685.0202377614488,869.8461895900078,911.99303781631,NA,NA,NA,NA,NA
Netherlands Antilles,353,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88585166755252,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88341795350677,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.79999999958333,1.8,1.8,1.8,1.8,1.79333333333333,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,311,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.761908334095242,2.000000001,2.000000001,2.000000001,1.974872733211454,1.921278149476007,1.95921923598161,2.053232408517626,2.169795832333334,2.614670832833332,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,NA,NA,NA,NA,NA
Burundi,618,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,84.375000080125,87.5000000875,87.5000000875,87.5000000875,87.5000000875,87.5000000875,87.50000008020832,87.5,80.02608333333332,78.75,78.75,86.25,90,90,90,90,90,90,92.94833333316669,119.7091666661667,120.6907499994166,114.1710833331667,123.5638333333334,140.395,158.6666666666667,171.2554166666666,181.5125833333334,208.3026666666666,242.78,252.6625,249.7575,302.7466666666668,352.3508333333332,447.7658333333332,563.5625,720.6733333333332,830.3533333333332,930.7491666666665,1082.62,1100.9,1081.577166666667,1028.683553,1081.8696825,1185.690833333334,1230.179166666667,1230.748333333333,1261.073333333333,1442.505625,1555.090833333333,1546.686666666667,1571.898333333334,1654.626666666667,1729.055,1782.876875,1845.62289069697,1915.046175833333,1975.950881387681,2034.306634304721,2574.05174879329,2885.24549799567,NA,NA,NA,NA,NA,NA
Benin,638,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.840666544651,174.980667078374,174.985667097436,174.980667078374,174.985667097436,174.985667097436,174.895666754328,180.821105973032,210.238718125891,245.213434789085,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319193,710.207977031373,732.397693260192,693.713226496371,579.897426172445,527.338032291584,527.258362649643,522.42562489518,478.633718476359,446.000041432788,470.293423341398,494.794262222936,471.248625718934,510.556338454251,493.899623852233,493.757329875319,591.21169798261,592.605615063006,580.656749587853,555.446458398235,585.950813757166,574.294549649056,554.607798864163,622.912348249567,606.654982255763,606.3452976090625,581.9284810403395,NA,NA,NA,NA,NA
