COUNTRY,n_years_2000_2010_weo,n_years_2000_2010_wdi
AFG,5,4
AGO,10,10
ALB,10,3
ARE,10,0
ARG,10,5
ARM,5,6
AUS,10,10
AUT,10,10
AZE,10,2
BDI,10,0
BEL,10,10
BEN,10,0
BFA,10,8
BGD,10,9
BGR,10,10
BHR,10,10
BHS,10,10
BIH,10,5
BLR,9,10
BLZ,10,10
BOL,10,8
BRA,9,0
BRB,10,7
BRN,10,NA
BTN,10,10
BWA,10,4
CAF,10,3
CAN,10,10
CHE,10,10
CHL,10,10
CHN,10,5
CIV,10,9
CMR,10,0
COD,10,8
COG,10,9
COL,10,4
COM,10,NA
CPV,10,5
CRI,10,10
CYP,10,10
CZE,10,10
DEU,10,10
DJI,10,NA
DNK,10,10
DOM,10,10
DZA,10,NA
ECU,10,0
EGY,10,8
ERI,10,NA
ESP,10,6
EST,10,10
ETH,10,9
FIN,10,10
FJI,10,6
FRA,10,10
GAB,10,0
GBR,10,10
GEO,10,10
GHA,10,9
GIN,10,0
GMB,10,0
GNB,10,0
GNQ,10,4
GRC,10,10
GTM,10,10
GUY,10,NA
HKG,5,NA
HND,10,7
HRV,10,8
HTI,10,NA
HUN,10,10
IDN,10,5
IND,10,10
IRL,10,10
IRN,9,10
IRQ,6,0
ISL,10,10
ISR,10,10
ITA,10,10
JAM,10,10
JOR,10,10
JPN,10,NA
KAZ,8,5
KEN,10,0
KGZ,10,0
KHM,10,8
KIR,9,0
KOR,10,10
KWT,10,6
LAO,10,2
LBN,10,10
LBR,10,NA
LBY,10,NA
LKA,10,10
LSO,10,10
LTU,10,10
LUX,10,10
LVA,10,10
MAC,10,0
MAR,10,8
MDA,10,10
MDG,10,7
MDV,10,10
MEX,10,3
MKD,10,5
MLI,10,10
MLT,10,10
MMR,10,0
MNE,8,NA
MNG,10,8
MOZ,10,0
MRT,6,NA
MUS,10,10
MWI,8,1
MYS,10,10
NAM,10,10
NER,10,0
NGA,10,NA
NIC,10,10
NLD,10,10
NOR,10,10
NPL,10,10
NZL,10,9
OMN,10,NA
PAK,10,0
PAN,10,0
PER,10,10
PHL,10,10
PNG,10,3
POL,10,10
PRT,10,10
PRY,10,5
QAT,10,NA
ROU,10,10
RUS,10,10
RWA,10,0
SAU,10,0
SDN,10,1
SEN,10,0
SGP,0,10
SLB,10,0
SLE,10,NA
SLV,10,10
SRB,10,3
STP,9,NA
SUR,10,NA
SVK,10,10
SVN,10,8
SWE,10,10
SWZ,10,10
SYR,10,NA
TCD,10,NA
TGO,10,6
THA,10,10
TJK,10,4
TKM,0,NA
TLS,8,0
TTO,10,9
TUN,10,10
TUR,10,2
TWN,0,NA
TZA,10,1
UGA,10,0
UKR,10,10
URY,10,10
USA,9,10
UZB,10,0
VNM,10,NA
VUT,10,1
WSM,0,0
YEM,10,NA
ZAF,10,10
ZMB,10,9
