"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,"Base Year",
"Cuba","928","Fund Accounts, Quota, SDRs","HPQ_XDR","Value","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Cuba","928","Fund Accounts, Outstanding GRA, SDRs","HPG_XDR","Value","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","12500000","10000000","10000000","10000000","7500000","7500000","7500000","7500000","7500000","5000000","5000000","5000000","2500000","2500000","2500000","2500000","2500000","2500000","2500000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Cuba","928","Fund Accounts, Use of Fund Credit and Loans, Reserve Tranche Position, SDRs","HPURTP_XDR","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Cuba","928","Fund Accounts, Quota, US Dollars","HPQ_USD","Value","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","50000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Cuba","928","Fund Accounts, Currency Holdings, SDRs","HPHC_XDR","Value","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","62500000","12500000","10000000","10000000","10000000","7500000","7500000","7500000","7500000","7500000","5000000","5000000","5000000","2500000","2500000","2500000","2500000","2500000","2500000","2500000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Cuba","928","Fund Accounts, Currency Holdings as % of Quota, Percent per annum","HPHCPQ_PA","Value","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Cuba","928","Fund Accounts, UFC & Loans as % of Quota, Percent per annum","HPUPQ_PA","Value","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
"Curaçao and Sint Maarten","355","International Liquidity, Gold Holdings, National Valuation, US Dollars","RAFAGOLDNV_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"590837988.826816","604949720.670391","632905027.932961","681039664.804469","661911731.843575","698906703.910614","672001117.318436","746621229.050279","699537268.351955","671896000","501110614.52514","557654189.944134","505104469.273743","543045251.396648","552819553.072626","511452513.96648","504158695.357542","499008856.692737","492282536.804469","468320000","446564000","520028606","555236687","555972000","487279836.385475","523328707","522235680","539408938.547486","545041899.441341","556539911.536313","525682919.044693","499113955.497207","538799242.832402","544579673.938547","592336545.145251","624412849.162011","640262011.173184","676394413.407821","743300558.659218","793243575.418994","795008938.547486","710908952.910615","741219431.910615","732664393.798883","765180363.759777","816470135.653631","763857702.27933","702795329.541899","761902865.564246","832255967.642458","803900325.368715","786348834.4","856710633.564","604983715.4","688536189.184358","776874061.8","771232017.469274","920184942.664804",,"",
"Curaçao and Sint Maarten","355","International Reserves, Official Reserve Assets, US Dollars","RAFA_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1853648044.69274","1845625698.32402","1821620111.73184","1887242458.10056","1951806145.25139","1863289944.13407","1857589944.13408","1860239664.80447","1834290340.97765","1775005000","1611897206.70391","1642341340.78212","1612885474.86033","1729808938.54749","1860992737.43017","1869403351.95531","1911866242.29338","2073524358.01991","1886610656.47872","1821041000","1791353000","1902734606","2025673687","1995333000","1937030621.38547","1975444418.34448","1973722717","1939702793.29609","2020116201.11732","2033909262.70949","2035121680.84916","1753925936.89386","1860241406.18436","1951576179.50838","1912646192.70391","1834812849.16201","1922645810.05586","1918401117.31843","2262888826.81564","2275825698.32402","2419572067.03911","2379409971.51956","2387231974.19554","2497301438.49162","2535052513.44693","2569508800.67598","2469060247.02793","2288560360.84916","2381934433.73743","2541023969.74302","2528016071.65921","2438417090.4","2566419242.564","2544428239.4","2650006635.89944","2795967921.04022","2768230054.67597","3022116564.92178",,"",
"Curaçao and Sint Maarten","355","International Reserves, Official Reserve Assets, SDRs","RAFA_XDR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1203640406.7486","1164061966.69273","1138193786.31285","1208512693.22682","1271314788.12793","1202831917.1162","1224073754.4067","1206233345.6095","1193484678.93779","1183970935.12","1071769795.50391","1070568414.69553","1047328795.98603","1119162165.91509","1203831538.01787","1260908822.08715","1319615965.22071","1503108174.75042","1341453754.57197","1297282292.785","1292713770.273","1350587661.62329","1448105502.66781","1429512430.524","1440887346.14629","1455906487.20872","1418528332.76692","1372467746.64134","1418487214.21677","1398967536.89537","1446865688.75635","1257068535.71275","1337541474.66765","1405780820.96145","1375795096.10482","1345855407.80168","1390374776.06257","1405629764.26927","1644905202.65642","1616842160.76871","1679945179.72626","1678942608.23382","1673578524.43768","1772554593.42409","1811277275.49024","1858731276.23299","1859538158.20563","1788104846.81975","1789792679.31361","1888913365.31596","1900658547.28412","1854343044.73649","1912854918.25265","1921702327.66101","2014686094.989","2061358105.43404","2122656660.0851","2274499324.8583",,"",
