filename,source,frequency,format,last_run,status
adv_monthly,IMF,monthly,csv,2026-03-03_10-24-14,Success
developing_monthly,IMF,monthly,csv,2026-03-03_10-24-14,Success
other_monthly,IMF,monthly,csv,2026-03-03_10-24-14,Success
all_monthly,IMF,monthly,csv,2026-03-03_10-24-14,Success
adv_annual,IMF,annual,csv,2026-03-03_10-24-49,Success
developing_annual,IMF,annual,csv,2026-03-03_10-24-49,Success
other_annual,IMF,annual,csv,2026-03-03_10-24-49,Success
all_annual,IMF,annual,csv,2026-03-03_10-24-49,Success
wdi_indicators_with_proxy,WB,annual,csv,2026-03-03_10-29-28,Success
EUROSTAT,EUROSTAT,Mixed,xlsx,2026-03-03_10-30-34,Success
